airport,arr_flights,arr_del15,arr_delay,delay_rate,avg_delay_per_flight,avg_delay_if_delayed,iata_code,name,type,municipality,latitude_deg,longitude_deg,dominant_cause
PSC,30123.0,4708.0,279714.0,0.15629253394416226,9.285728513096306,59.412489379779096,PSC,Tri Cities Airport,medium_airport,Pasco,46.264702,-119.119003,carrier_delay
PSG,3560.0,582.0,33245.0,0.16348314606741574,9.338483146067416,57.12199312714777,PSG,Petersburg James A Johnson Airport,medium_airport,Petersburg,56.80170059,-132.9450073,late_aircraft_delay
PSM,1896.0,305.0,18767.0,0.1608649789029536,9.898206751054852,61.5311475409836,PSM,Portsmouth International Airport at Pease,medium_airport,Portsmouth,43.0779,-70.823303,carrier_delay
PSP,70295.0,12806.0,728010.0,0.18217511914076392,10.356497617184722,56.849133218803686,PSP,Palm Springs International Airport,large_airport,Palm Springs,33.8297,-116.507004,late_aircraft_delay
PUB,1148.0,165.0,20353.0,0.1437282229965157,17.729094076655052,123.35151515151514,PUB,Pueblo Memorial Airport,medium_airport,Pueblo,38.289101,-104.497002,carrier_delay
PUW,5518.0,714.0,31030.0,0.1293947082276187,5.6234142805364264,43.4593837535014,PUW,Pullman-Moscow Regional Airport,medium_airport,Pullman,46.741601,-117.11163,late_aircraft_delay
PVD,77704.0,17052.0,1123123.0,0.21944816225676927,14.45386337897663,65.86459066385174,PVD,Rhode Island T. F. Green International Airport,large_airport,Providence/Warwick,41.725038,-71.425668,late_aircraft_delay
PVU,9197.0,2784.0,261750.0,0.30270740458845274,28.460367511144938,94.01939655172414,PVU,Provo Municipal Airport,medium_airport,Provo,40.218894,-111.722445,late_aircraft_delay
PWM,59789.0,11893.0,826781.0,0.1989161885965646,13.828312900366289,69.5182880686118,PWM,Portland International Jetport,large_airport,Portland,43.646198,-70.309303,late_aircraft_delay
RAP,26210.0,4960.0,351528.0,0.18924074780618086,13.411980160244182,70.87258064516129,RAP,Rapid City Regional Airport,medium_airport,Rapid City,44.0452995300293,-103.05699920654295,carrier_delay
RDD,7716.0,1218.0,100617.0,0.1578538102643857,13.0400466562986,82.60837438423646,RDD,Redding Municipal Airport,medium_airport,Redding,40.50899887,-122.2929993,carrier_delay
RDM,38706.0,5979.0,365288.0,0.15447217485661138,9.437503229473467,61.09516641578859,RDM,Roberts Field,medium_airport,Redmond,44.254101,-121.150002,carrier_delay
RDU,278315.0,58744.0,3998243.0,0.21107019025205254,14.36589116648402,68.06215102819012,RDU,Raleigh-Durham International Airport,large_airport,Raleigh/Durham,35.878659,-78.7873,late_aircraft_delay
RFD,3904.0,708.0,50644.0,0.18135245901639344,12.97233606557377,71.53107344632768,RFD,Chicago Rockford International Airport,medium_airport,Chicago/Rockford,42.1954,-89.097198,carrier_delay
RHI,4062.0,588.0,48868.0,0.1447562776957164,12.030526834071885,83.10884353741497,RHI,Rhinelander Oneida County Airport,medium_airport,Rhinelander,45.63119888305664,-89.46749877929688,carrier_delay
RIC,114158.0,24197.0,1691034.0,0.211960615988367,14.813101140524536,69.88610158284085,RIC,Richmond International Airport,large_airport,Richmond,37.505199,-77.319702,late_aircraft_delay
RIW,2710.0,444.0,43432.0,0.16383763837638377,16.026568265682656,97.81981981981981,RIW,Central Wyoming Regional Airport,medium_airport,Riverton,43.064201,-108.459999,carrier_delay
RKS,2700.0,484.0,48751.0,0.17925925925925926,18.055925925925926,100.72520661157024,RKS,Southwest Wyoming Regional Airport,medium_airport,Rock Springs,41.5942,-109.065001,carrier_delay
RNO,103885.0,20678.0,1179498.0,0.19904702315059922,11.35388169610627,57.041203211142275,RNO,Reno Tahoe International Airport,large_airport,Reno,39.4991,-119.767998,late_aircraft_delay
ROA,31603.0,5875.0,420615.0,0.18590007277790083,13.309337721102427,71.59404255319149,ROA,Roanoke–Blacksburg Regional Airport,medium_airport,Roanoke,37.3255,-79.975403,late_aircraft_delay
ROC,74688.0,15045.0,1016417.0,0.20143798200514137,13.60883943873179,67.55845795945497,ROC,Frederick Douglass Greater Rochester International Airport,large_airport,Rochester,43.1189,-77.672401,late_aircraft_delay
ROW,5115.0,882.0,72836.0,0.1724340175953079,14.239687194525905,82.58049886621315,ROW,Roswell Air Center Airport,medium_airport,Roswell,33.301601,-104.530998,carrier_delay
RST,10603.0,2019.0,172224.0,0.19041780628124116,16.24295010845987,85.30163447251114,RST,Rochester International Airport,medium_airport,Rochester,43.908298,-92.5,carrier_delay
RSW,176966.0,38432.0,2525509.0,0.2171716600928992,14.271153780952273,65.71370212323065,RSW,Southwest Florida International Airport,large_airport,Fort Myers,26.534685,-81.752816,late_aircraft_delay
SAF,14156.0,2936.0,231234.0,0.20740322124894037,16.3346990675332,78.75817438692098,SAF,Santa Fe Municipal Airport,medium_airport,Santa Fe,35.6171,-106.088997,carrier_delay
SAN,428051.0,92656.0,5162336.0,0.21646018815514972,12.060095642808918,55.71507511656018,SAN,San Diego International Airport,large_airport,San Diego,32.733601,-117.190002,late_aircraft_delay
SAT,184443.0,40708.0,2503663.0,0.2207077525305921,13.574182809865379,61.50297238871966,SAT,San Antonio International Airport,large_airport,San Antonio,29.533701,-98.469803,late_aircraft_delay
