airport,year,arr_flights,weather_adjusted,weather_ct_adjusted,weather_probability,weather_severity,weather_score
JFK,2020,57038.0,43588.362,911.36668,0.015978236964830462,47.827469400132124,-2.021742274108556
JFK,2021,82655.0,156810.892,2397.21724,0.029002688766559797,65.4137177822065,-0.7409451001204628
JFK,2022,136554.0,362131.0,5961.4233,0.0436561602003603,60.74572828941705,-0.7228227554845214
JFK,2023,133055.0,387151.62,5734.4889,0.04309863515087746,67.51283797933587,-0.34009550832609226
JFK,2024,123334.0,322114.68,4710.84692,0.03819584964405598,68.37723353574818,-0.3867394971898229
JFK,2025,125035.0,433467.238,5712.75776,0.0456892690846563,75.87705556764234,0.19780757019199835
LGA,2005,127557.0,714035.524,12483.36932,0.09786502755630816,57.198942504730766,0.14264178323663568
LGA,2006,127435.0,725369.7860000001,13141.47464,0.10312296182367482,55.19698556447544,0.1301177923374015
LGA,2007,123007.0,804899.024,14333.029980000001,0.1165220676872048,56.15693437627205,0.4509054050097855
LGA,2008,119117.0,727308.322,12652.99922,0.10622328651661811,57.481100674564026,0.324322007135564
LGA,2009,100667.0,547609.5,9050.2585,0.08990293244062106,60.50760870532041,0.17773025417251237
LGA,2010,102562.0,353703.61600000004,6296.555200000001,0.06139267174977088,56.17414677790802,-0.6381318133355712
LGA,2011,97939.0,394812.58400000003,6311.2173,0.06444028732170025,62.55727940155064,-0.20646447472415316
LGA,2012,99373.0,314864.33,5259.08136,0.052922638543668805,59.870594966418246,-0.5905230106446933
LGA,2013,104660.0,434017.386,6846.1008600000005,0.0654127733613606,63.396288613837335,-0.1384175578358245
LGA,2014,106952.0,379525.128,6473.8852400000005,0.060530754357094776,58.62401230949222,-0.5126261606728806
LGA,2015,108151.0,422001.84,6829.91662,0.0631516733086148,61.78726088167091,-0.2767477001126296
LGA,2016,96586.0,402429.304,6475.25488,0.06704134015281718,62.14879745397759,-0.1788034174695805
LGA,2017,93334.0,411411.074,5965.87828,0.06391966785951529,68.96068855095717,0.1558302147568428
LGA,2018,171444.0,772263.562,10849.019680000001,0.06328025291057139,71.18279667458395,0.2724829821666626
LGA,2019,171947.0,917854.5380000001,12402.18166,0.07212793279324443,74.0075063535233,0.6117810414923874
LGA,2020,69033.0,119338.656,1884.06588,0.027292249793576986,63.34102075029351,-0.8953664162686703
LGA,2021,87863.0,164669.848,2219.8227,0.02526459032812447,74.18153170521231,-0.30469240698595684
LGA,2022,171190.0,678443.192,9518.5385,0.055602187627782,71.27598338757574,0.12609160429737193
LGA,2023,167066.0,483302.938,6869.2069,0.04111672572516251,70.35789502860949,-0.2137401494080906
LGA,2024,163013.0,480099.27,6379.8605800000005,0.03913712759105102,75.25231374256771,0.03190500451545197
LGA,2025,166036.0,745404.242,9515.74792,0.05731135368233395,78.33375245610752,0.5705490012628454
