airport,year,arr_flights,weather_adjusted,weather_ct_adjusted,weather_probability,weather_severity,weather_score
MIA,2006,66150.0,133069.438,3074.6126200000003,0.046479404686318976,43.28006628685469,0.10741152702431606
MIA,2007,64760.0,157318.916,3525.4823,0.054439195491043854,44.623374225988876,0.672736187399571
MIA,2008,62582.0,155785.312,3595.22318,0.05744819884311783,43.33119369796676,0.7772095817354803
MIA,2009,64164.0,138504.876,3164.2435800000003,0.049314936412941844,43.77187548880165,0.30960413710332535
MIA,2010,69555.0,111760.27200000001,2660.93262,0.038256525339659266,42.00041412548057,-0.4700409357743578
MIA,2011,77487.0,121965.588,2688.81476,0.034700204679494626,45.36035349642308,-0.4822970828058061
MIA,2012,77649.0,103039.986,2585.23844,0.03329390513722005,39.85705318539206,-0.901746210441696
MIA,2013,82270.0,107480.318,2540.6079,0.030881340707426767,42.30496095048748,-0.8998310522953439
MIA,2014,82227.0,132828.962,2920.19592,0.035513832682695465,45.48631860289703,-0.425199575103482
MIA,2015,75280.0,136819.624,2970.1886200000004,0.03945521546227418,46.064287997979065,-0.15056341652436162
MIA,2016,69668.0,137394.434,2842.46882,0.04080020698168456,48.33630294667577,0.0690659016161061
MIA,2017,67965.0,118463.804,2363.1748000000002,0.0347704671522107,50.12909074690539,-0.1886313698887095
MIA,2018,87989.0,158929.15600000002,3162.4295,0.03594119151257544,50.25539889505838,-0.10980833605772954
MIA,2019,89202.0,138153.244,2637.1846,0.029564186901638978,52.3866414205513,-0.3680733144015543
MIA,2020,56783.0,40685.178,1008.86104,0.01776695560290932,40.32783147221147,-1.816921635678572
MIA,2021,92033.0,155960.476,2832.1848800000002,0.030773579911553467,55.067194624667295,-0.13189331320932635
MIA,2022,106842.0,261472.826,4826.122340000001,0.04517064768536719,54.17865681374334,0.6892545489491185
MIA,2023,102531.0,260572.11000000002,4688.74916,0.04573006368805532,55.5739070502974,0.8079284750922133
MIA,2024,109923.0,300894.998,4570.51964,0.04157928404428555,65.83387047867494,1.1782745866396669
MIA,2025,111949.0,308430.108,4932.4227200000005,0.044059551402870954,62.53115872436821,1.1285999425970747
